Inference for Stan model: dcc8891bd7edaba240c5cfd94c9bc3bf.
4 chains, each with iter=10000; warmup=5000; thin=10; 
post-warmup draws per chain=500, total post-warmup draws=2000.

                      mean se_mean    sd     2.5%      25%      50%      75%    97.5% n_eff Rhat
alpha                -1.84    0.04  1.45    -4.40    -2.21    -1.83    -1.47     0.66  1093 1.00
beta_day              0.00    0.00  0.00    -0.01     0.00     0.00     0.00     0.01  1854 1.00
beta_dairy            0.25    0.00  0.08     0.09     0.19     0.25     0.30     0.42  1937 1.00
beta_winter           0.85    0.01  0.24     0.39     0.69     0.84     1.01     1.30  1898 1.00
beta_day_winter       0.00    0.00  0.01    -0.01     0.00     0.00     0.01     0.01  1848 1.00
beta_dairy_winter     0.12    0.01  0.28    -0.44    -0.06     0.11     0.31     0.65  1845 1.00
phi_alpha             0.90    0.01  0.23     0.47     0.75     0.89     1.05     1.35  1924 1.00
phi_dairy             0.05    0.01  0.40    -0.76    -0.23     0.05     0.32     0.82  1630 1.00
phi_winter           -1.56    0.01  0.28    -2.09    -1.75    -1.56    -1.38    -1.03  1886 1.00
phi_dairy_winter      0.78    0.01  0.49    -0.16     0.45     0.78     1.12     1.72  1658 1.00
sigma_region          1.56    0.06  2.04     0.27     0.54     0.91     1.77     7.23  1156 1.00
sigma_square          0.11    0.00  0.08     0.01     0.05     0.10     0.16     0.29   314 1.02
b_region[1]          -1.51    0.00  0.16    -1.82    -1.62    -1.52    -1.41    -1.20  1776 1.00
b_region[2]          -1.64    0.00  0.16    -1.95    -1.75    -1.64    -1.54    -1.33  1928 1.00
b_region[3]          -2.38    0.00  0.15    -2.66    -2.48    -2.38    -2.27    -2.09  1917 1.00
b_square[1,1]        -0.06    0.00  0.14    -0.40    -0.11    -0.02     0.02     0.16  1112 1.00
b_square[1,2]        -0.02    0.00  0.12    -0.30    -0.06    -0.01     0.04     0.21  1981 1.00
b_square[1,3]        -0.01    0.00  0.12    -0.27    -0.06    -0.01     0.04     0.23  2000 1.00
b_square[1,4]         0.06    0.00  0.13    -0.13    -0.01     0.03     0.11     0.40  1364 1.00
b_square[1,5]         0.01    0.00  0.12    -0.24    -0.04     0.00     0.06     0.28  2000 1.00
b_square[1,6]         0.05    0.00  0.12    -0.16    -0.02     0.02     0.10     0.35  1119 1.00
b_square[1,7]         0.00    0.00  0.12    -0.23    -0.05     0.00     0.05     0.26  2000 1.00
b_square[1,8]         0.01    0.00  0.12    -0.24    -0.04     0.00     0.06     0.28  2000 1.00
b_square[1,9]        -0.04    0.00  0.13    -0.38    -0.09    -0.01     0.02     0.17  1485 1.00
b_square[1,10]        0.03    0.00  0.12    -0.19    -0.03     0.01     0.08     0.32  1811 1.00
b_square[2,1]        -0.02    0.00  0.12    -0.32    -0.08    -0.01     0.03     0.21  1822 1.00
b_square[2,2]         0.01    0.00  0.12    -0.26    -0.05     0.00     0.06     0.30  2000 1.00
b_square[2,3]         0.00    0.00  0.12    -0.26    -0.05     0.00     0.05     0.26  2000 1.00
b_square[2,4]         0.01    0.00  0.13    -0.27    -0.04     0.00     0.06     0.29  2000 1.00
b_square[2,5]        -0.03    0.00  0.12    -0.32    -0.08    -0.01     0.03     0.19  1822 1.00
b_square[2,6]         0.06    0.00  0.13    -0.15    -0.01     0.03     0.12     0.40   910 1.00
b_square[2,7]        -0.01    0.00  0.12    -0.29    -0.06     0.00     0.04     0.24  1962 1.00
b_square[2,8]         0.04    0.00  0.13    -0.16    -0.02     0.02     0.10     0.36  1135 1.00
b_square[2,9]         0.01    0.00  0.12    -0.23    -0.04     0.00     0.06     0.28  1748 1.00
b_square[2,10]       -0.04    0.00  0.13    -0.36    -0.09    -0.02     0.02     0.17  1336 1.00
b_square[3,1]         0.00    0.00  0.12    -0.26    -0.05     0.00     0.05     0.26  2000 1.00
b_square[3,2]         0.01    0.00  0.12    -0.24    -0.04     0.00     0.06     0.27  2000 1.00
b_square[3,3]         0.00    0.00  0.13    -0.28    -0.06     0.00     0.05     0.29  2000 1.00
b_square[3,4]        -0.01    0.00  0.12    -0.31    -0.07    -0.01     0.04     0.23  1699 1.00
b_square[3,5]         0.00    0.00  0.13    -0.26    -0.05     0.00     0.06     0.30  2000 1.00
b_square[3,6]        -0.01    0.00  0.12    -0.29    -0.06    -0.01     0.04     0.23  1964 1.00
b_square[3,7]        -0.08    0.00  0.15    -0.50    -0.15    -0.04     0.01     0.13   993 1.00
b_square[3,8]        -0.04    0.00  0.13    -0.36    -0.09    -0.02     0.02     0.20  1750 1.00
b_square[3,9]         0.02    0.00  0.11    -0.20    -0.03     0.01     0.06     0.29  1981 1.00
b_square[3,10]        0.09    0.01  0.15    -0.11     0.00     0.04     0.15     0.50   931 1.01
lp__              12829.87    1.89 25.02 12794.19 12810.98 12824.10 12845.13 12889.74   175 1.03

Samples were drawn using NUTS(diag_e) at Wed Feb 17 13:18:46 2016.
For each parameter, n_eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor on split chains (at 
convergence, Rhat=1).
